restart,round,in_round,phase,loss_before,loss_after,gain,factor,factor_renewed,n_iter,func_evals,early_stop,wall_s
697,28,22,train,6.594280248012483e-10,6.387992012193599e-10,0.03128290398046991,254351587.7203075,0,200,217,0,79.29
698,28,23,train,6.387992012193599e-10,6.195921356012831e-10,0.0300674540315858,254351587.7203075,0,200,223,0,79.03
699,28,24,train,6.195921356012831e-10,6.008639172780511e-10,0.03022668824719222,254351587.7203075,0,200,219,0,77.19
700,29,0,train,2.3135447473437305e-08,3.329091609417296e-09,0.8561042913373709,43223715.51914603,1,200,212,0,74.48
701,29,1,train,3.329091609417296e-09,2.488568939721281e-09,0.25247808360645707,43223715.51914603,0,200,209,0,77.12
702,29,2,train,2.488568939721281e-09,2.0688345954567374e-09,0.16866494536878446,43223715.51914603,0,200,209,0,74.22
703,29,3,train,2.0688345954567374e-09,1.8452452411850937e-09,0.10807502676272762,483363920.052405,1,200,209,0,73.54
704,29,4,train,1.8452452411850937e-09,1.6205672058229264e-09,0.12176052827420905,483363920.052405,0,200,215,0,75.95
705,29,5,train,1.6205672058229264e-09,1.438880468795718e-09,0.11211305299427407,483363920.052405,0,200,212,0,77.11
706,29,6,train,1.438880468795718e-09,1.3098802660834584e-09,0.08965317516626473,483363920.052405,0,200,218,0,77.52
707,29,7,train,1.3098802660834584e-09,1.1944702486053265e-09,0.08810730298518642,483363920.052405,0,200,215,0,76.37
708,29,8,train,1.1944702486053265e-09,1.1097309143279436e-09,0.07094302631340155,483363920.052405,0,200,219,0,77.47
709,29,9,train,1.1097309143279436e-09,1.0363067483277097e-09,0.06616393672758022,483363920.052405,0,200,219,0,77.71
710,29,10,train,1.0363067483277097e-09,9.75647071394694e-10,0.05853448028868136,483363920.052405,0,200,222,0,78.86
711,29,11,train,9.75647071394694e-10,9.251000798921153e-10,0.05180868470226782,483363920.052405,0,200,219,0,78.03
712,29,12,train,9.251000798921153e-10,8.84533978808196e-10,0.04385050003308839,483363920.052405,0,200,217,0,80.94
713,29,13,train,8.84533978808196e-10,8.473932305134058e-10,0.04198905772374389,483363920.052405,0,200,215,0,78.84
714,29,14,train,8.473932305134058e-10,8.123812677782417e-10,0.04131725564287502,483363920.052405,0,200,217,0,76.68
715,29,15,train,8.123812677782417e-10,7.824022909331262e-10,0.03690259491962949,483363920.052405,0,200,215,0,77.04
716,29,16,train,7.824022909331262e-10,7.549210112150623e-10,0.035124232171263876,483363920.052405,0,200,214,0,78.95
717,29,17,train,7.549210112150623e-10,7.3182352857361e-10,0.030595893210438492,483363920.052405,0,200,218,0,79.99
718,29,18,train,7.3182352857361e-10,7.095861272195097e-10,0.03038628916105371,483363920.052405,0,200,223,0,78.51
719,29,19,train,7.095861272195097e-10,6.889860390003811e-10,0.029031131569397094,483363920.052405,0,200,220,0,80.74
720,29,20,train,6.889860390003811e-10,6.684944332802709e-10,0.029741684969176754,483363920.052405,0,200,216,0,78.89
721,29,21,train,6.684944332802709e-10,6.507498765214409e-10,0.026544060616568336,483363920.052405,0,200,218,0,77.12
722,29,22,train,6.507498765214409e-10,6.335464134404728e-10,0.02643636779914361,483363920.052405,0,200,215,0,75.84
723,29,23,train,6.335464134404728e-10,6.166483115322883e-10,0.026672239870192464,483363920.052405,0,200,213,0,75.32
724,29,24,train,6.166483115322883e-10,6.028954969639862e-10,0.02230252529862313,483363920.052405,0,200,216,0,76.43
725,30,0,train,2.2947695758042365e-07,3.0959107277987976e-09,0.9865088383581441,4357736.003404764,1,200,212,0,74.82
726,30,1,train,3.0959107277987976e-09,2.1410719940688873e-09,0.30841933688727635,323006729.8196945,1,200,210,0,73.23
727,30,2,train,2.1410719940688873e-09,1.6704264219911407e-09,0.21981772372975325,323006729.8196945,0,200,215,0,75.86
728,30,3,train,1.6704264219911407e-09,1.3655857212926736e-09,0.18249274358046755,323006729.8196945,0,200,213,0,77.82
729,30,4,train,1.3655857212926736e-09,1.1945892702428494e-09,0.12521839411732985,323006729.8196945,0,200,217,0,77.6
730,30,5,train,1.1945892702428494e-09,1.0668775574079787e-09,0.10690847140198076,323006729.8196945,0,200,216,0,82.75
731,30,6,train,1.0668775574079787e-09,9.825586903096173e-10,0.07903331222302341,323006729.8196945,0,200,209,0,79.58
732,30,7,train,9.825586903096173e-10,9.108583125598617e-10,0.07297312461524502,323006729.8196945,0,200,222,0,84.81
733,30,8,train,9.108583125598617e-10,8.474116504614137e-10,0.06965590720705887,323006729.8196945,0,200,216,0,78.75
734,30,9,train,8.474116504614137e-10,7.886787659337634e-10,0.06930856390240843,323006729.8196945,0,200,216,0,80.67
735,30,10,train,7.886787659337634e-10,7.449996903801461e-10,0.05538259357332015,323006729.8196945,0,200,224,0,80.91
736,30,11,train,7.449996903801461e-10,7.046902894240404e-10,0.05410660095111898,323006729.8196945,0,200,216,0,76.03
737,30,12,train,7.046902894240404e-10,6.701082543337127e-10,0.04907409057472946,323006729.8196945,0,200,217,0,76.29
738,30,13,train,6.701082543337127e-10,6.39359050319254e-10,0.045886920233556186,323006729.8196945,0,200,212,0,74.97
739,30,14,train,6.39359050319254e-10,6.119445316977105e-10,0.042878127099091654,323006729.8196945,0,200,212,0,74.64
740,30,15,train,6.119445316977105e-10,5.888259556984493e-10,0.037778875047912684,323006729.8196945,0,200,213,0,75.46
741,30,16,train,5.888259556984493e-10,5.657677673667364e-10,0.03915959904376482,323006729.8196945,0,200,217,0,80.11
742,30,17,train,5.657677673667364e-10,5.452099777033731e-10,0.03633609203126895,323006729.8196945,0,200,216,0,79.68
743,30,18,train,5.452099777033731e-10,5.259046518874149e-10,0.03540897379992828,323006729.8196945,0,200,219,0,80.77
744,30,19,train,5.259046518874149e-10,5.077648877837149e-10,0.03449249600397773,323006729.8196945,0,200,224,0,80.85
745,30,20,train,5.077648877837149e-10,4.907829552619959e-10,0.033444479778508375,323006729.8196945,0,200,227,0,84.43
746,30,21,train,4.907829552619959e-10,4.759713399665383e-10,0.030179563362282318,323006729.8196945,0,200,221,0,78.7
747,30,22,train,4.759713399665383e-10,4.6078734030418973e-10,0.03190107972344729,323006729.8196945,0,200,218,0,76.75
748,30,23,train,4.6078734030418973e-10,4.483331132934989e-10,0.027028144919235723,323006729.8196945,0,200,215,0,75.45
749,30,24,train,4.483331132934989e-10,4.3624607754699753e-10,0.026959944264898998,323006729.8196945,0,200,217,0,76.36
750,31,0,train,3.7723378103134534e-08,4.396810075730967e-09,0.8834460142007902,26508760.622286566,1,200,208,0,74.99
751,31,1,train,4.396810075730967e-09,3.10100642888835e-09,0.2947144917618918,26508760.622286566,0,200,213,0,81.48
752,31,2,train,3.10100642888835e-09,2.5604094672042943e-09,0.17432951981265296,322475951.8987777,1,200,205,0,77.95
753,31,3,train,2.5604094672042943e-09,2.0509389247550338e-09,0.19898010414933762,322475951.8987777,0,200,212,0,80.42
754,31,4,train,2.0509389247550338e-09,1.7576966238305687e-09,0.14297953848600845,322475951.8987777,0,200,213,0,81.53
755,31,5,train,1.7576966238305687e-09,1.556456831390494e-09,0.11449062921991074,322475951.8987777,0,200,219,0,83.62
756,31,6,train,1.556456831390494e-09,1.3892840646794568e-09,0.10740597704961079,322475951.8987777,0,200,225,0,85.94
757,31,7,train,1.3892840646794568e-09,1.2607631582839188e-09,0.09250873141281657,322475951.8987777,0,200,219,0,82.24
758,31,8,train,1.2607631582839188e-09,1.1742729286883068e-09,0.06860148873110931,322475951.8987777,0,200,226,0,81.45
759,31,9,train,1.1742729286883068e-09,1.0982793129209636e-09,0.06471546257327924,322475951.8987777,0,200,215,0,75.62
